file_name,split,label
img_0.npy,train,1.0
img_1.npy,train,5.0
img_2.npy,train,0.0
img_3.npy,train,1.0
img_4.npy,train,6.0
img_5.npy,train,0.0
img_6.npy,train,2.0
img_7.npy,train,9.0
img_8.npy,train,2.0
img_9.npy,train,6.0
img_10.npy,train,0.0
img_11.npy,train,4.0
img_12.npy,train,6.0
img_13.npy,train,2.0
img_14.npy,train,2.0
img_15.npy,train,2.0
img_16.npy,train,6.0
img_17.npy,train,1.0
img_18.npy,train,2.0
img_19.npy,train,4.0
img_20.npy,train,7.0
img_21.npy,train,5.0
img_22.npy,train,5.0
img_23.npy,train,1.0
img_24.npy,train,5.0
img_25.npy,train,8.0
img_26.npy,train,8.0
img_27.npy,train,6.0
img_28.npy,train,9.0
img_29.npy,train,7.0
img_30.npy,train,4.0
img_31.npy,train,6.0
img_32.npy,train,0.0
img_33.npy,train,2.0
img_34.npy,train,7.0
img_35.npy,train,1.0
img_36.npy,train,1.0
img_37.npy,train,0.0
img_38.npy,train,9.0
img_39.npy,train,5.0
img_40.npy,train,7.0
img_41.npy,train,0.0
img_42.npy,train,7.0
img_43.npy,train,4.0
img_44.npy,train,6.0
img_45.npy,train,3.0
img_46.npy,train,2.0
img_47.npy,train,5.0
img_48.npy,train,8.0
img_49.npy,train,1.0
img_50.npy,train,3.0
img_51.npy,train,9.0
img_52.npy,train,2.0
img_53.npy,train,1.0
img_54.npy,train,8.0
img_55.npy,train,6.0
img_56.npy,train,4.0
img_57.npy,train,6.0
img_58.npy,train,4.0
img_59.npy,train,5.0
img_60.npy,train,8.0
img_61.npy,train,7.0
img_62.npy,train,0.0
img_63.npy,train,7.0
img_64.npy,train,3.0
img_65.npy,train,8.0
img_66.npy,train,2.0
img_67.npy,train,2.0
img_68.npy,train,1.0
img_69.npy,train,3.0
img_70.npy,train,5.0
img_71.npy,train,0.0
img_72.npy,train,8.0
img_73.npy,train,1.0
img_74.npy,train,3.0
img_75.npy,train,3.0
img_76.npy,train,4.0
img_77.npy,train,6.0
img_78.npy,train,3.0
img_79.npy,train,4.0
img_80.npy,train,3.0
img_81.npy,train,3.0
img_82.npy,train,6.0
img_83.npy,train,6.0
img_84.npy,train,4.0
img_85.npy,train,3.0
img_86.npy,train,9.0
img_87.npy,train,4.0
img_88.npy,train,1.0
img_89.npy,train,3.0
img_90.npy,train,5.0
img_91.npy,train,8.0
img_92.npy,train,2.0
img_93.npy,train,0.0
img_94.npy,train,5.0
img_95.npy,train,9.0
